,ruptureStatus,Systole_STAWSS,Systole_WSSMin,Systole_WSSMax,Mean_OSI,Std_OSI,TA_LSA_2,TA_LSA_Std_2,Bulbous,sacVolume,Height,Sac_Max_Width,Size_ratio_height,Size_ratio_width,aspectRatio_star,vesselDiameter,Systole_TADVO,Systole_DVOStd,Ostium Minimum,Ostium Maximum,Aneurysm Area,Ostium Area,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11
ruptureStatus,1.0,-0.01929201112416692,-0.06606883051025109,-0.11157748923421745,-0.13379144970593937,-0.13388684666287745,-0.056940850709988666,0.09825932865069703,-0.18568578635132355,0.20825555590223163,0.1639852380256495,0.19841634901601657,-0.16777494887482358,-0.19715798312524652,-0.021988999381424804,0.37474070307534646,0.034514669640152915,0.02851116468359275,0.36949283896580243,0.2730178241029503,0.21987600663441384,0.29125778292704,0.17446587092874102,0.16511706515936,0.2139012943915497,0.27408476519944525,0.23051405916055695,0.18363583247609497,0.18149868829010485,0.2434495059874883,0.26976627343717285,0.1511407635454646
Systole_STAWSS,-0.01929201112416692,1.0,0.6147991389241019,0.7175900432772275,-0.055375628838188425,-0.1700484222797204,-0.6824381447754191,-0.3978733105160159,-0.10950697365751194,-0.1722404550932127,-0.22645501875422444,-0.1888875770238404,-0.15861616837039244,-0.12286855030356948,-0.11403092260986736,-0.09626552738271847,0.41866828488180646,-0.38528684026673604,-0.027235409891260817,-0.06992350133092957,-0.17903742034674372,-0.039587750144971436,-0.07272851513436639,0.006918085130644352,0.06137592591741101,0.06831897985089606,0.054055317740599046,0.06336352941372612,0.11018385889553903,0.016742339345499107,0.08365907787661084,-0.1262012018366545
Systole_WSSMin,-0.06606883051025109,0.6147991389241019,1.0,0.35265028146641764,-0.0413523844617849,-0.17065837239199436,-0.4259918405405166,-0.19978662066162986,-0.1353406602857956,0.004537397914278323,-0.12073455776699613,-0.10664364866451422,-0.01994772131907937,-0.005216652312912558,-0.15693099686019754,-0.13637253294267093,0.15595000646370744,-0.23521251073879373,0.11188813902013177,0.026899539346511667,-0.034998280319532324,-0.13148853068601002,0.022577475753226505,0.11440033631997165,0.142926215600927,0.1463147977402182,0.1252064306323396,0.14251781374316963,0.18586629213851108,0.1624047743773717,0.24238073740838517,0.15757181330651027
Systole_WSSMax,-0.11157748923421745,0.7175900432772275,0.35265028146641764,1.0,0.13935621124259828,-0.08889635924008614,-0.3878703599066033,-0.2847006470239283,-0.08205968831818769,0.01991226966065476,-0.03517188338911949,0.019530847190359333,-0.007386335081286329,0.010645331529950971,0.15735910919824198,-0.031117941246577543,0.22862445621690497,-0.21038449615374966,-0.19803550325522637,-0.19793781623451492,0.03921380155165668,-0.14460059274890524,0.05134775549821149,0.09174351149597842,0.11841716367475118,0.07659588212872001,0.08607815566796902,0.049195933187309554,0.05451618813831962,0.01127631907051937,0.10018220694867974,-0.014172568559384412
Mean_OSI,-0.13379144970593937,-0.055375628838188425,-0.0413523844617849,0.13935621124259828,1.0,0.3425214636940108,0.11027099644283611,-0.07614989839099517,0.20537179606625866,0.025333883032880637,-0.0048765583206234345,0.16178192059525495,0.03896658769657948,0.1714497424966654,-0.01528017958460231,-0.021717607921428773,-0.14311072228564128,0.010157899176030308,-0.011696500969752263,-0.0048878363886139505,0.04858449339336876,-0.037152305010576536,-0.0788580588498968,-0.1609552357081494,-0.14908469552866083,-0.07107238041075616,-0.07762299369343259,-0.0429336939874912,0.009113590410119915,0.053077242341613894,0.09732973451410712,-0.04717540010787218
Std_OSI,-0.13388684666287745,-0.1700484222797204,-0.17065837239199436,-0.08889635924008614,0.3425214636940108,1.0,0.30448764202572953,-0.22200712922745022,0.25209355135581024,-0.053136213409675524,-0.026448083110126534,0.017294162119526404,0.09125945778124381,0.1367048864424589,0.055352856921919234,-0.11499235172094448,-0.29014963442874625,0.20018427345918668,-0.1515920106613904,-0.0858581239826136,-0.038239318167554444,-0.08301819154535452,-0.10593788382851338,-0.22747260552419604,-0.2636914729816387,-0.2281600828010604,-0.20121264618939827,-0.15270939394690314,-0.07427964218351689,-0.14714513437921306,-0.12813819526094167,-0.1293874868023524
TA_LSA_2,-0.056940850709988666,-0.6824381447754191,-0.4259918405405166,-0.3878703599066033,0.11027099644283611,0.30448764202572953,1.0,-0.18814217445406214,0.04369738670208326,0.10983473044099157,0.17964287125684328,0.13188972493993287,0.16595046121512758,0.11978737642163417,0.21820827608967114,0.026698863525355047,-0.5848576314877638,0.3979888510492949,-0.17286345082196022,-0.10512154096816821,0.1380594944566043,-0.0938923326026987,-0.10011699133660336,-0.1574170991868212,-0.18244952195104128,-0.2596839020357109,-0.18676136567911367,-0.12991104145144258,-0.12900922420992997,-0.03337812443694495,-0.10871071608315801,0.010226069134256518
TA_LSA_Std_2,0.09825932865069703,-0.3978733105160159,-0.19978662066162986,-0.2847006470239283,-0.07614989839099517,-0.22200712922745022,-0.18814217445406214,1.0,0.037393383463530015,0.06624996373848062,0.04549625062983665,-0.028853585163306907,-0.09791228686408349,-0.14469371382691132,-0.09467399563231149,0.15407507548694918,0.2155938188142078,0.027991261910055253,0.16031740635189615,0.08799171669138707,0.03096669453394,0.057795291994773706,0.10658159844575928,0.09767728326798146,0.095799728872935,0.14538722364550163,0.12637974912557487,0.03397014457937989,-0.07157543783702182,-0.005213190942703414,-0.0354558400526406,0.13701463037888248
Bulbous,-0.18568578635132355,-0.10950697365751194,-0.1353406602857956,-0.08205968831818769,0.20537179606625866,0.25209355135581024,0.04369738670208326,0.037393383463530015,1.0,-0.01450758858555793,-0.0026159909458127136,0.12095566512585368,0.1307960767880858,0.2787997965334377,0.1046285974894724,-0.20788386450842095,-0.055878308618057704,-0.033929353067077665,-0.15836070731363355,-0.07561797908431672,0.02859775613470147,-0.10260817127752388,-0.32837069998318935,-0.40178612068623737,-0.47425069865411007,-0.38773339717665595,-0.39105755738688863,-0.4328855286164329,-0.2999391011807815,-0.23923567061503367,-0.2553605788776456,-0.21020287244522912
sacVolume,0.20825555590223163,-0.1722404550932127,0.004537397914278323,0.01991226966065476,0.025333883032880637,-0.053136213409675524,0.10983473044099157,0.06624996373848062,-0.01450758858555793,1.0,0.8609301680491945,0.830608780815571,0.4251543016086948,0.3351684390212198,0.30778426668099257,0.4244985902620582,-0.32349060982406397,0.058093026933639,0.4867979506030294,0.5661143991421975,0.9724304249425482,0.3951488134917499,0.33306816273735323,0.3348705690139229,0.2719247117999012,0.21962119585491477,0.20168162165517753,0.2345565196771567,0.33283770157579734,0.34700058954294843,0.29726560617477515,0.47770969026805044
